color,r,g,b,receiver,transmitter,english-words,english-words-code,gnh-indicator,key,sound
grey,170,170,170,cover,lose,respectful effective apposite precary,precary,Economic Wellness,eye contact,synchopation
pink,250,0,90,category,place,incredibily exquisite ambitious,ambitious,Mental Wellness,make gibberish,tone
gold,250,200,0,pull,hide,undepartable preflorating technocracy lotiform,technocracy lotiform,Workplace Wellness,define,conductor
nude,250,180,120,approach,jump,felicitously deft satisfied unextenuable,unextenuable,Physical Wellness,feel,listen
orange,250,110,0,hit,drop,blurry artesian awesome,blurry artesian,Social Wellness,look down,flat/sharp
white,255,255,255,hope,block,unlavish analeptical,analeptical,Political Wellness,stillness,note
blue,0,0,255,collect,glean,"daintily perfect, intelligent photopathy",photopathy,Environmental Wellness,respond,tempo
green,0,255,0,transition,grow,bulbous spontaneous heroic,bulbous heroic,Ecological Diversity,composure,staff
red,255,0,0,limit,cry,"candid apophantic, distinct radiant",apophantic,Health,coo,chord
black,0,0,0,order,scale,undertreated paleoatavistic obeyable swabble,swabble,Good Governance,walk,repeat
brown,180,50,0,learn,shrink,"abundantly notable, unique submissive",notable submissive,Education Value,curl up,dischord
yellow,255,255,0,structure,array,exhilerating redressible authority plausible,redressible authority,Living Standards,speak,largo
purple,180,50,255,free,cheer,"perfectly great - imaginative, brave, gifted",brave,Cultural Diversity,laugh,cadence
